ticker,market,state,effective_from,effective_to,announced_at,source,source_ref
BREN,CASH,SUSPENDED,2023-11-10,2023-11-12,2023-11-09 00:30:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2023/NOV/20231109-WAS_Suspensi_BREN.pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2023/NOV/20231110-WAS_UnSuspensi_BREN.pdf
BREN,CASH,SUSPENDED,2024-05-03,2024-05-05,2024-05-02 00:00:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2024/MEI/20240502-WAS_Suspensi_BREN.pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2024/MEI/20240503-WAS_Unsuspensi_BREN.pdf
BREN,CASH,SUSPENDED,2024-05-27,2024-05-28,2024-05-22 00:30:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2024/MEI/20240522-WAS_Suspensi_BREN.pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2024/MEI/20240528-WAS_Unsuspensi_BREN.pdf
BREN,REGULAR,SUSPENDED,2023-11-10,2023-11-12,2023-11-09 00:30:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2023/NOV/20231109-WAS_Suspensi_BREN.pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2023/NOV/20231110-WAS_UnSuspensi_BREN.pdf
BREN,REGULAR,SUSPENDED,2024-05-03,2024-05-05,2024-05-02 00:00:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2024/MEI/20240502-WAS_Suspensi_BREN.pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2024/MEI/20240503-WAS_Unsuspensi_BREN.pdf
BREN,REGULAR,SUSPENDED,2024-05-27,2024-05-28,2024-05-22 00:30:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2024/MEI/20240522-WAS_Suspensi_BREN.pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2024/MEI/20240528-WAS_Unsuspensi_BREN.pdf
BWPT,CASH,SUSPENDED,2025-08-21,2025-08-21,2025-08-20 01:00:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250820-WAS_Suspensi_BWPT.pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250821-WAS_Unsuspensi_BWPT.pdf
BWPT,CASH,SUSPENDED,2025-08-25,2025-09-08,2025-08-22 02:30:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250822-WAS_Suspensi_BWPT .pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/SEP/20250908-WAS_Unsuspensi_BWPT.pdf
BWPT,REGULAR,SUSPENDED,2025-08-21,2025-08-21,2025-08-20 01:00:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250820-WAS_Suspensi_BWPT.pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250821-WAS_Unsuspensi_BWPT.pdf
BWPT,REGULAR,SUSPENDED,2025-08-25,2025-09-08,2025-08-22 02:30:00,IDX_EXCHANGE_ANNOUNCEMENT,https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/AGU/20250822-WAS_Suspensi_BWPT .pdf|https://www.idx.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/SEP/20250908-WAS_Unsuspensi_BWPT.pdf
