ticker,action,effective_date,listing_date,action_shares,total_shares_after_action,old_shares,new_shares,ratio,source,source_identity,source_ref
ALDO,stockSplit,2024-07-08,2024-07-08,0,0,,,,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
ASDM,stockSplit,2023-12-12,2023-12-12,192000000,384000000,192000000.0,384000000.0,2.0,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
BBNI,stockSplit,2023-10-06,2023-10-06,0,1,,,,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
BBNI,stockSplit,2023-10-06,2023-10-06,289341867,578683733,289341866.0,578683733.0,2.0000000034561194,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
BBNI,stockSplit,2023-10-06,2023-10-06,18359314591,36718629182,18359314591.0,36718629182.0,2.0,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
BMRI,stockSplit,2023-04-04,2023-04-04,46666666666,93333333332,46666666666.0,93333333332.0,2.0,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
BUAH,stockSplit,2025-10-22,2025-10-22,1000000000,2000000000,1000000000.0,2000000000.0,2.0,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
CUAN,stockSplit,2025-07-15,2025-07-15,101177010000,112418900000,11241890000.0,112418900000.0,10.0,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
DSSA,stockSplit,2026-04-09,2026-04-09,184932556800,192638080000,7705523200.0,192638080000.0,25.0,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
EDGE,stockSplit,2023-11-15,2023-11-15,0,0,,,,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
FISH,stockSplit,2025-09-09,2025-09-09,4320000000,4800000000,480000000.0,4800000000.0,10.0,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
GMTD,stockSplit,2024-01-04,2024-01-04,913842000,1015380000,101538000.0,1015380000.0,10.0,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
HILL,stockSplit,2025-03-14,2025-03-14,11793200000,14741500000,2948300000.0,14741500000.0,5.0,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
INDS,stockSplit,2024-07-04,2024-07-04,0,0,,,,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
ISAT,stockSplit,2024-10-14,2024-10-14,0,1,,,,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,IDX_LISTING_ACTIVITY_ISSUED_HISTORY,https://www.idx.id/primary/ListingActivity/GetIssuedHistory?caType=&dateFrom=20230101&dateTo=20260808&start=0&length=9999
