security_id,ticker,company_name,listed_from,listed_to,source
IDX:AADI:20241205,AADI,Adaro Andalan Indonesia Tbk.,2024-12-05,,IDX_STOCK_LIST
IDX:AALI:19971209,AALI,Astra Agro Lestari Tbk.,1997-12-09,,IDX_STOCK_LIST
IDX:ABBA:20020403,ABBA,Mahaka Media Tbk.,2002-04-03,,IDX_STOCK_LIST
IDX:ABDA:19890706,ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,,IDX_STOCK_LIST
IDX:ABMM:20111206,ABMM,ABM Investama Tbk.,2011-12-06,,IDX_STOCK_LIST
IDX:ACES:20071106,ACES,Aspirasi Hidup Indonesia Tbk.,2007-11-06,,IDX_STOCK_LIST
IDX:ACRO:20240111,ACRO,Samcro Hyosung Adilestari Tbk.,2024-01-11,,IDX_STOCK_LIST
IDX:ACST:20130624,ACST,Acset Indonusa Tbk.,2013-06-24,,IDX_STOCK_LIST
IDX:ADCP:20210521,ADCP,Adhi Commuter Properti Tbk.,2021-05-21,,IDX_STOCK_LIST
IDX:ADES:19940613,ADES,Akasha Wira International Tbk.,1994-06-13,,IDX_STOCK_LIST
IDX:ADHI:20040318,ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,,IDX_STOCK_LIST
IDX:ADMF:20040331,ADMF,Adira Dinamika Multi Finance T,2004-03-31,,IDX_STOCK_LIST
IDX:ADMG:19931020,ADMG,Polychem Indonesia Tbk,1993-10-20,,IDX_STOCK_LIST
IDX:ADMR:20220103,ADMR,Alamtri Minerals Indonesia Tbk,2022-01-03,,IDX_STOCK_LIST
IDX:ADRO:20080716,ADRO,Alamtri Resources Indonesia Tb,2008-07-16,,IDX_STOCK_LIST
IDX:AEGS:20230911,AEGS,Anugerah Spareparts Sejahtera,2023-09-11,,IDX_STOCK_LIST
IDX:AGAR:20191202,AGAR,Asia Sejahtera Mina Tbk.,2019-12-02,,IDX_STOCK_LIST
IDX:AGII:20160928,AGII,Samator Indo Gas Tbk.,2016-09-28,,IDX_STOCK_LIST
IDX:AGRO:20030808,AGRO,Bank Raya Indonesia Tbk.,2003-08-08,,IDX_STOCK_LIST
IDX:AGRS:20141222,AGRS,Bank IBK Indonesia Tbk.,2014-12-22,,IDX_STOCK_LIST
IDX:AHAP:19900914,AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14,,IDX_STOCK_LIST
IDX:AIMS:20010720,AIMS,Artha Mahiya Investama Tbk.,2001-07-20,,IDX_STOCK_LIST
IDX:AISA:19970611,AISA,FKS Food Sejahtera Tbk.,1997-06-11,,IDX_STOCK_LIST
IDX:AKKU:20041101,AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01,,IDX_STOCK_LIST
IDX:AKPI:19921218,AKPI,Argha Karya Prima Industry Tbk,1992-12-18,,IDX_STOCK_LIST
IDX:AKRA:19941003,AKRA,AKR Corporindo Tbk.,1994-10-03,,IDX_STOCK_LIST
IDX:AKSI:20010713,AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13,,IDX_STOCK_LIST
IDX:ALDO:20110712,ALDO,Alkindo Naratama Tbk.,2011-07-12,,IDX_STOCK_LIST
IDX:ALII:20240207,ALII,Ancara Logistics Indonesia Tbk,2024-02-07,,IDX_STOCK_LIST
IDX:ALKA:19900712,ALKA,Alakasa Industrindo Tbk,1990-07-12,,IDX_STOCK_LIST
IDX:ALMI:19970102,ALMI,Alumindo Light Metal Industry,1997-01-02,,IDX_STOCK_LIST
IDX:ALTO:20120710,ALTO,Tri Banyan Tirta Tbk.,2012-07-10,,IDX_STOCK_LIST
IDX:AMAG:20051223,AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23,,IDX_STOCK_LIST
IDX:AMAN:20200313,AMAN,Makmur Berkah Amanda Tbk.,2020-03-13,,IDX_STOCK_LIST
IDX:AMAR:20200109,AMAR,Bank Amar Indonesia Tbk.,2020-01-09,,IDX_STOCK_LIST
IDX:AMFG:19951108,AMFG,Asahimas Flat Glass Tbk.,1995-11-08,,IDX_STOCK_LIST
IDX:AMIN:20151210,AMIN,Ateliers Mecaniques D Indonesi,2015-12-10,,IDX_STOCK_LIST
IDX:AMMN:20230707,AMMN,Amman Mineral Internasional Tb,2023-07-07,,IDX_STOCK_LIST
IDX:AMMS:20220804,AMMS,Agung Menjangan Mas Tbk.,2022-08-04,,IDX_STOCK_LIST
IDX:AMOR:20200114,AMOR,Ashmore Asset Management Indon,2020-01-14,,IDX_STOCK_LIST
IDX:AMRT:20090115,AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15,,IDX_STOCK_LIST
IDX:ANDI:20180816,ANDI,Andira Agro Tbk.,2018-08-16,,IDX_STOCK_LIST
IDX:ANJT:20130508,ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08,,IDX_STOCK_LIST
IDX:ANTM:19971127,ANTM,ANTAM (Persero) Tbk.,1997-11-27,,IDX_STOCK_LIST
