ticker,company_name,listed_from,listed_to,capture_broad,capture_high,activity_rank,activity_median_regular_value_60,universe_source
AADI,Adaro Andalan Indonesia Tbk.,2024-12-05,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
AALI,Astra Agro Lestari Tbk.,1997-12-09,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ABBA,Mahaka Media Tbk.,2002-04-03,,1,1,98.0,10220000.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ABMM,ABM Investama Tbk.,2011-12-06,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ACES,Aspirasi Hidup Indonesia Tbk.,2007-11-06,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ACRO,Samcro Hyosung Adilestari Tbk.,2024-01-11,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ACST,Acset Indonusa Tbk.,2013-06-24,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ADCP,Adhi Commuter Properti Tbk.,2021-05-21,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ADES,Akasha Wira International Tbk.,1994-06-13,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
