classification,git_path,source_external_root_key,source_relative_path,source_sha256,promoted_sha256,bytes,source_lane,source_acceptance_ref,promotion_method,dedupe_basis,payload_type
PUSH_TO_GIT,artifacts/canonical/idx_data_gate_126/official_exchange_sessions_126.csv,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/official_exchange_sessions_126.csv,1ad88f3c726472e3fba8c412954c977b76a098679ad255381d1791ba52962e58,1ad88f3c726472e3fba8c412954c977b76a098679ad255381d1791ba52962e58,1518,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,accepted_current_u_snapshot,official_session_identity_table
PUSH_TO_GIT,artifacts/canonical/idx_data_gate_126/security_master.csv,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/security_master.csv,c8efa462c5fee94a92aca7e5915513fdb8be6d04c2264021bab47bf1cc50a240,c8efa462c5fee94a92aca7e5915513fdb8be6d04c2264021bab47bf1cc50a240,75375,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,identical_to_p_snapshot,security_listing_reference_table
PUSH_TO_GIT,artifacts/canonical/idx_data_gate_126/security_scope_exclusions.csv,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/security_scope_exclusions.csv,406e224dcd611f3d5a2f9ad8bbd2c03b3c8a0826cc724b01b4618c9b1c1bd938,406e224dcd611f3d5a2f9ad8bbd2c03b3c8a0826cc724b01b4618c9b1c1bd938,199,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,identical_to_p_snapshot,scope_exclusion_reference_table
PUSH_TO_GIT,artifacts/canonical/idx_data_gate_126/merged_tradability_intervals.csv,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/merged_tradability_intervals.csv,b693995a4822580463e30ca9f5cb31092c394d5aeb7db78912137e22dadec716,b693995a4822580463e30ca9f5cb31092c394d5aeb7db78912137e22dadec716,25389,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,unique_126_snapshot,tradability_interval_reference_table
PUSH_TO_GIT,artifacts/canonical/idx_data_gate_126/curated_tradability_intervals.csv,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/curated_tradability_intervals.csv,922031b30474a00f64fa3bf78797f5f2a70ea8d25b5ba8815ad7c0acd48fb348,922031b30474a00f64fa3bf78797f5f2a70ea8d25b5ba8815ad7c0acd48fb348,557,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,unique_126_snapshot,curated_tradability_reference_table
PUSH_TO_GIT,artifacts/canonical/idx_data_gate_126/official_idx_split_reverse_actions.csv,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/official_idx_split_reverse_actions.csv,40c0ade2a3d2f4a73483d7016c61eef751eda961ead3f9c6a6cfaa7217a20aa6,40c0ade2a3d2f4a73483d7016c61eef751eda961ead3f9c6a6cfaa7217a20aa6,10305,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,identical_to_p_snapshot,official_split_reverse_action_table
PUSH_SUMMARY_OR_MANIFEST_ONLY,artifacts/canonical/idx_data_gate_126/official_idx_split_reverse_actions_summary.json,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/official_idx_split_reverse_actions_summary.json,9e0f77db9a7a1319183716de007848c67211ccad9f33127d38f1320cd7e9f7dd,9e0f77db9a7a1319183716de007848c67211ccad9f33127d38f1320cd7e9f7dd,820,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,unique_126_snapshot,coverage_summary
PUSH_SUMMARY_OR_MANIFEST_ONLY,artifacts/canonical/idx_data_gate_126/exchange_session_sources.csv,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/exchange_session_sources.csv,2ced8f2018f66c90a91fe3a6deb5d485f20592186c110a23a464184e32c8815b,2ced8f2018f66c90a91fe3a6deb5d485f20592186c110a23a464184e32c8815b,4690,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,unique_126_snapshot,source_provenance_summary
PUSH_SUMMARY_OR_MANIFEST_ONLY,artifacts/canonical/idx_data_gate_126/exchange_session_summary.json,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/exchange_session_summary.json,45fe07810bf3f5aa24059554493d96fc3c236810ae7ac1fa11582cfb6bfb6fef,45fe07810bf3f5aa24059554493d96fc3c236810ae7ac1fa11582cfb6bfb6fef,2127,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,unique_126_snapshot,exchange_calendar_summary
PUSH_SUMMARY_OR_MANIFEST_ONLY,artifacts/canonical/idx_data_gate_126/full_universe_gate_summary_126_sessions.json,IDX_TRADE_EXTERNAL_ROOT,idx-trade-data-gate-20260808u/certification/full_universe_gate_summary_126_sessions.json,e2ff79d9726b594f81530b07b236ba1eb977ffb08e96fd5ef98f31f800419ef4,e2ff79d9726b594f81530b07b236ba1eb977ffb08e96fd5ef98f31f800419ef4,588,full-market-126-certification,ed13ee0812e8db21d580e922f4e346873aa7b3cd:docs/checkpoints/2026-08-08_FULL_MARKET_126_SESSION_CERTIFIED.md,EXACT_COPY,unique_126_snapshot,data_gate_summary
