source_kind,ticker,event_family,candidate_date,effective_date_status,continuity_status,source_action_id,source_ref,source_url,source_sha256,official_attachment_sha256s,official_announcement_refs,published_at_utc,evidence_id
IDX_GET_ISSUED_HISTORY,BBNI,STOCK_SPLIT,2023-10-06,UNRESOLVED_TANGGAL_PENCATATAN_NOT_GENERIC_EFFECTIVE_DATE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,18476,MULTIPLE_REVISION_CANDIDATES,IDX:GetIssuedHistory,d3a11d3e51887ebde4af5b6a2f37ab64d9ad1bfd1d70179b58fca79d18e9909e,0e81a344a61563674a4797903173fa8848270bcbd304e19ccba0024ada831469;170a89180bc9c1b2fe23f55d297cf76e172de9d84c765f05418551de3ae851df;ccdfdde076715580387586d9792f38d6bc7c69dc8013b91c694c989a6ea3e768,CSE/7/4963;CSE/7/6272;CSE/7/6272.,2023-08-11T10:16:04Z;2023-09-29T08:57:40Z;2023-10-02T09:48:42Z,IDX:18476
IDX_GET_ISSUED_HISTORY,BBNI,STOCK_SPLIT,2023-10-06,UNRESOLVED_TANGGAL_PENCATATAN_NOT_GENERIC_EFFECTIVE_DATE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,18477,MULTIPLE_REVISION_CANDIDATES,IDX:GetIssuedHistory,d3a11d3e51887ebde4af5b6a2f37ab64d9ad1bfd1d70179b58fca79d18e9909e,0e81a344a61563674a4797903173fa8848270bcbd304e19ccba0024ada831469;170a89180bc9c1b2fe23f55d297cf76e172de9d84c765f05418551de3ae851df;ccdfdde076715580387586d9792f38d6bc7c69dc8013b91c694c989a6ea3e768,CSE/7/4963;CSE/7/6272;CSE/7/6272.,2023-08-11T10:16:04Z;2023-09-29T08:57:40Z;2023-10-02T09:48:42Z,IDX:18477
IDX_GET_ISSUED_HISTORY,BBNI,STOCK_SPLIT,2023-10-06,UNRESOLVED_TANGGAL_PENCATATAN_NOT_GENERIC_EFFECTIVE_DATE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,18478,MULTIPLE_REVISION_CANDIDATES,IDX:GetIssuedHistory,d3a11d3e51887ebde4af5b6a2f37ab64d9ad1bfd1d70179b58fca79d18e9909e,0e81a344a61563674a4797903173fa8848270bcbd304e19ccba0024ada831469;170a89180bc9c1b2fe23f55d297cf76e172de9d84c765f05418551de3ae851df;ccdfdde076715580387586d9792f38d6bc7c69dc8013b91c694c989a6ea3e768,CSE/7/4963;CSE/7/6272;CSE/7/6272.,2023-08-11T10:16:04Z;2023-09-29T08:57:40Z;2023-10-02T09:48:42Z,IDX:18478
IDX_GET_ISSUED_HISTORY,ISAT,STOCK_SPLIT,2024-10-14,UNRESOLVED_TANGGAL_PENCATATAN_NOT_GENERIC_EFFECTIVE_DATE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,34588,MULTIPLE_REVISION_CANDIDATES,IDX:GetIssuedHistory,d3a11d3e51887ebde4af5b6a2f37ab64d9ad1bfd1d70179b58fca79d18e9909e,c7446e527524556af7d81e74983247e3e36da0b78c03b97e6acc011162263c2c;fff4fdb2247036af037373243cc2073f9d7fae2b595e73886a8e7d04e03bc4e4,134/AY0-AYD/LGL/24;164/AY0-AYD/LGL/24,2024-08-11T07:29:30Z;2024-10-07T09:11:44Z,IDX:34588
IDX_GET_ISSUED_HISTORY,ISAT,STOCK_SPLIT,2024-10-14,UNRESOLVED_TANGGAL_PENCATATAN_NOT_GENERIC_EFFECTIVE_DATE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,34589,MULTIPLE_REVISION_CANDIDATES,IDX:GetIssuedHistory,d3a11d3e51887ebde4af5b6a2f37ab64d9ad1bfd1d70179b58fca79d18e9909e,c7446e527524556af7d81e74983247e3e36da0b78c03b97e6acc011162263c2c;fff4fdb2247036af037373243cc2073f9d7fae2b595e73886a8e7d04e03bc4e4,134/AY0-AYD/LGL/24;164/AY0-AYD/LGL/24,2024-08-11T07:29:30Z;2024-10-07T09:11:44Z,IDX:34589
KSEI_REGISTERED_SECURITY,MEGA,RIGHTS_HMETD,2002-06-11,UNRESOLVED_KSEI_EVENT_DATE_NOT_PROVEN_MARKET_EFFECTIVE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,,Right Distribution,https://web.ksei.co.id/services/registered-securities/shares/lc/MEGA,b3d181ebcc5602604b8690f137a56a9f84b7a4e5eafe950d4e6e3d6e146a675c,,,,KSEI:MEGA:Right Distribution:2002-06-11
KSEI_REGISTERED_SECURITY,MEGA,STOCK_DIVIDEND,2005-04-21,UNRESOLVED_KSEI_EVENT_DATE_NOT_PROVEN_MARKET_EFFECTIVE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,,Stock Dividend,https://web.ksei.co.id/services/registered-securities/shares/lc/MEGA,b3d181ebcc5602604b8690f137a56a9f84b7a4e5eafe950d4e6e3d6e146a675c,,,,KSEI:MEGA:Stock Dividend:2005-04-21
KSEI_REGISTERED_SECURITY,MEGA,RIGHTS_HMETD,2006-04-11,UNRESOLVED_KSEI_EVENT_DATE_NOT_PROVEN_MARKET_EFFECTIVE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,,Right Distribution,https://web.ksei.co.id/services/registered-securities/shares/lc/MEGA,b3d181ebcc5602604b8690f137a56a9f84b7a4e5eafe950d4e6e3d6e146a675c,,,,KSEI:MEGA:Right Distribution:2006-04-11
KSEI_REGISTERED_SECURITY,MEGA,STOCK_DIVIDEND,2009-06-30,UNRESOLVED_KSEI_EVENT_DATE_NOT_PROVEN_MARKET_EFFECTIVE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,,Stock Dividend,https://web.ksei.co.id/services/registered-securities/shares/lc/MEGA,b3d181ebcc5602604b8690f137a56a9f84b7a4e5eafe950d4e6e3d6e146a675c,,,,KSEI:MEGA:Stock Dividend:2009-06-30
KSEI_REGISTERED_SECURITY,MEGA,RIGHTS_HMETD,2013-05-31,UNRESOLVED_KSEI_EVENT_DATE_NOT_PROVEN_MARKET_EFFECTIVE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,,Right Distribution,https://web.ksei.co.id/services/registered-securities/shares/lc/MEGA,b3d181ebcc5602604b8690f137a56a9f84b7a4e5eafe950d4e6e3d6e146a675c,,,,KSEI:MEGA:Right Distribution:2013-05-31
KSEI_REGISTERED_SECURITY,MEGA,STOCK_DIVIDEND,2013-05-31,UNRESOLVED_KSEI_EVENT_DATE_NOT_PROVEN_MARKET_EFFECTIVE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,,Stock Dividend,https://web.ksei.co.id/services/registered-securities/shares/lc/MEGA,b3d181ebcc5602604b8690f137a56a9f84b7a4e5eafe950d4e6e3d6e146a675c,,,,KSEI:MEGA:Stock Dividend:2013-05-31
KSEI_REGISTERED_SECURITY,MEGA,RIGHTS_HMETD,2022-03-23,UNRESOLVED_KSEI_EVENT_DATE_NOT_PROVEN_MARKET_EFFECTIVE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,,Right Distribution,https://web.ksei.co.id/services/registered-securities/shares/lc/MEGA,b3d181ebcc5602604b8690f137a56a9f84b7a4e5eafe950d4e6e3d6e146a675c,,,,KSEI:MEGA:Right Distribution:2022-03-23
KSEI_REGISTERED_SECURITY,MEGA,RIGHTS_HMETD,2026-04-30,UNRESOLVED_KSEI_EVENT_DATE_NOT_PROVEN_MARKET_EFFECTIVE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,,Right Distribution,https://web.ksei.co.id/services/registered-securities/shares/lc/MEGA,b3d181ebcc5602604b8690f137a56a9f84b7a4e5eafe950d4e6e3d6e146a675c,,,,KSEI:MEGA:Right Distribution:2026-04-30
IDX_GET_ISSUED_HISTORY,MEGA,BONUS_SHARES,2026-05-04,UNRESOLVED_TANGGAL_PENCATATAN_NOT_GENERIC_EFFECTIVE_DATE,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,82117,MULTIPLE_REVISION_CANDIDATES,IDX:GetIssuedHistory,d3a11d3e51887ebde4af5b6a2f37ab64d9ad1bfd1d70179b58fca79d18e9909e,190a9ada768fad09c4899ac3f801601a87db96c438e316faf0b7c49f2b818b3c;a824cbb657fad6cd88c0d648ef116be9abea2dc6107cfa0818e1e98e07accf14;c99186a81df1b6200d42e7c13e91c565c871ab77844362e07523e6a0b0d4b46b,018/COAF/26;050/COAF/26.;No. Peng-00059/BEI.POP/04-2026,2026-02-20T09:10:18Z;2026-04-02T11:34:26Z;2026-04-09T14:25:00Z,IDX:82117
