event_id,ticker,source_type,family,semantic_class,transition_date,transition_source,reason,source_dates
41c1e8493213d0151799837330c0dc7d8fea633d458c03e40b61ea0247bb9e58,ADRO,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2024-11-29|2024-12-02
b1fd0a21ffefab80076ea7985f9e43fda3da35c6c5453dc7a62bc97703cb413b,AGRS,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-07-09,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-07-08|2024-07-10|2024-07-11
8276f5f06ce646ae1b774610fd55209f5182950ec604513093fd5452ddd870c5,BABP,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2023-12-14,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2023-12-13|2023-12-15|2023-12-18
da7907c518d9c345e9fd39ff1040594141f3585d868e75e34610b2546ee98359,BABY,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2026-04-28|2026-04-29
5c37390a79d79cc3e022e9e604d69934d152e3ea6fadfa57e76d0207a6b004c6,BBYB,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-07-09,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-07-08|2024-07-10|2024-07-11
7adbd2c9b652bc833379d5391bd1b74de691916516145edcb673b0233519b807,BEEF,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-09-26,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-09-25|2024-09-27|2024-10-17
14c6e6f42d5bf33bf71d24ed97ab85b10cb380266cdbddaf131548a640dcaf7a,BEEF,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-05-27,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2025-05-26|2025-05-28|2025-06-10
eff14a1e04321e714b20fe3787737de7c4ef765990d0d1c56c7b6113e25e6970,BNBR,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2026-07-09,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2026-07-08|2026-07-10|2026-07-13
40562a0c5d3118a2683908f28fce6344563f8be5a39dc35aa7d27f2c0161a427,BRPT,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-06-27,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2024-06-26|2024-06-28|2024-07-19
abbfde50f3d9a4dfa848a9af445ccfb679b265e3fbe3013253fef8ff71def3ae,BUVA,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-11-05|2025-11-06
