ticker,parent_dominant_failure_class,recovery_status,recovery_failure_class,home_attempts,security_attempts,final_http_status,ca_rows,active_mechanical_rows,active_unknown_rows,source_sha256
ACRO,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,8,0,0,b25980646a1c6ffa11743152e10ae2562ca77dca2a99e35eedb5a72394f78fb8
AMAN,PARSE_IDENTITY_MISMATCH,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
AVIA,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
AYAM,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
BCIP,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
BDKR,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,7,0,0,fd4b9b0135cfece17c0c178da4955e429435e6189a6e9480741bc6366d8bdafe
BJTM,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,40,0,0,75f73e8817eeae9b41e71dc44360b5b1d061d944f7cbe1ef5a0f199d8da3045d
CBRE,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,8,0,0,2b14c15f53fd99529b9e0c2a9db7823b2cbdb2d635e4168e6330fd15f4753c7c
DFAM,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,14,0,0,19b128c7f98b505eb37a21ed806aabded5836582f8e67e754ffeadeef4ab5577
DGIK,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,42,1,0,4972b0ef89c8fe351051f8ec45c544271059d844549ca862e6f2cdbd8a5ec4ba
HELI,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,11,0,0,3ef3cbccefe77d397a46c7aa731dcb223225b02fdb52ad65e671db73b278335c
IBOS,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,5,0,0,6f0384640f618469cd4e4242109beb9cf7df0d1fe16373a1e04cc723ae0381c2
ICBP,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
ISAP,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,4,0,0,422beaf40cabd7b0f918a6e3a593c6920c3cec9b93865d34d3e7eff5b485e073
ISAT,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,74,2,0,6c065dd3c3f6fee48b3d8d2e1b051b4956b6921e4e4ac861d5b3a47dda60f0a6
JPFA,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,51,1,0,1e415babf71ea2039abe86bd30a010787f18406a383bc67371bbb0cca988688d
KEJU,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,21,3,0,cc2182cd200cfd3f5dfe3c8aec46c7355ce1768327fa5ffb9e642b63f61c4d79
KRAS,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,32,1,0,e3d88fc419450813cfdf2757977f20e8db6017a84ccba2b2bcde84b022d28c54
MAPA,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,16,1,0,d8a0f7568edcb0e184ef4ec04c1439c18e259e7ca975de898df0e78035c13345
MAPI,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,42,2,0,5368330b749361954190787297291ba9debb7ac81d102435c5784f56115685fc
MIDI,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,34,2,0,717ebd097f6c517db7dafef460fd3a5d4b6bb464538cdb691ede87f3b94fd8cf
MIKA,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,31,1,0,294243d546d71c280f637ec9351732c41911e04e554c159854083d0adb509ed1
MINA,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,17,3,0,81f7faeeffed16acf150b805c82bbcda56885b90f68d71036f92a97d0c980258
MSJA,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,6,0,0,6e124bf3e82a81179228e32de7b376408656180d7d188cab9c27cac100d3b14e
NASI,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,6,0,0,3e75e3d38e769144f7b56d6213bf5bd717102674bace186cff9bb9f839961777
OLIV,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,8,1,0,96843f10ad025f457df055a0a002cbd1d35226310bc576cda9542e6fb586bdcd
PMMP,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,11,0,0,630eb4526dd7af4064be95bb5a302c10dfb9456242d7a549cf65dc60c2d3ab34
PMUI,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,2,0,0,f43c4e7cad5c56c949f972ea16fdf3b95e045e83ad75fc33ffdebac1eacf7634
PRIM,PARSE_IDENTITY_MISMATCH,STILL_UNRESOLVED,PARSE_IDENTITY_MISMATCH,1,2,200,0,0,0,
PSAB,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,47,3,0,dacce448bdf20232ff013534ed8cd9194ef899b796a03d68f89fd90a83dc23f7
SDMU,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,27,1,0,7f5e8aa483d51119c7b7684fc4b37de39460903620ac03cc1c212ddb0276a9d3
SKRN,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
SLIS,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
SMAR,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
SNLK,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
SOCI,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
SOFA,HTTP_NON_200_OR_EMPTY,STILL_UNRESOLVED,HTTP_NON_200_OR_EMPTY,1,0,0,0,0,0,
STAA,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,11,0,0,38e0552a96a44729dd9db9eece743a4364d7176cbde1a95efde1926f5fb948c7
STRK,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,4,0,0,a6a24f1ea4f196ff6a2e875c43d0e451203b1e4117200491e8ce579a639b4c81
TCPI,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,20,0,0,03790c229c43fa1ed33e424a5fd173e56d10c1bc13fc2e83d901bc35955d4efa
TEBE,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,26,1,0,e7714aa0d93de76fe3371777ec3033da492cab8b4672062c559e2cca9fe54db3
TOSK,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,5,0,0,fd42a1172e85750207376a67bfeddea67b81b8e820b75106b9be3d8eb5e60bff
VISI,HTTP_NON_200_OR_EMPTY,RECOVERED_STRICT_PARSE,,1,1,200,6,1,0,92ebd656f99f9139f844c4412c2243991a86ccf7fb5847ac17d6091b9cf6b45c
