ticker,parent_attempt_count,parent_attempt_classes,parent_dominant_failure_class,parent_status_codes,parent_bytes,parent_errors
ACRO,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24553|2114|2114,RuntimeError:HTTP_OR_EMPTY:500:24553 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114
AMAN,3,HTTP_NON_200_OR_EMPTY|PARSE_IDENTITY_MISMATCH|PARSE_IDENTITY_MISMATCH,PARSE_IDENTITY_MISMATCH,500|200|200,24497|40907|40907,"RuntimeError:HTTP_OR_EMPTY:500:24497 || KseiHistoryParseError:KSEI short-code identity mismatch: expected AMAN, got TYPE || KseiHistoryParseError:KSEI short-code identity mismatch: expected AMAN, got TYPE"
AVIA,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,23049|0|2114,RuntimeError:HTTP_OR_EMPTY:500:23049 || RuntimeError:HTTP_OR_EMPTY:500:0 || RuntimeError:HTTP_OR_EMPTY:500:2114
AYAM,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24553|2114|9902,RuntimeError:HTTP_OR_EMPTY:500:24553 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:9902
BCIP,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,9894|23049|9894,RuntimeError:HTTP_OR_EMPTY:500:9894 || RuntimeError:HTTP_OR_EMPTY:500:23049 || RuntimeError:HTTP_OR_EMPTY:500:9894
BDKR,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,2114|2114|2114,RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114
BJTM,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,23049|2114|9894,RuntimeError:HTTP_OR_EMPTY:500:23049 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:9894
CBRE,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24553|11183|2114,RuntimeError:HTTP_OR_EMPTY:500:24553 || RuntimeError:HTTP_OR_EMPTY:500:11183 || RuntimeError:HTTP_OR_EMPTY:500:2114
DFAM,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24553|2114|2114,RuntimeError:HTTP_OR_EMPTY:500:24553 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114
DGIK,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,2114|2114|24497,RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:24497
HELI,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24553|9894|2114,RuntimeError:HTTP_OR_EMPTY:500:24553 || RuntimeError:HTTP_OR_EMPTY:500:9894 || RuntimeError:HTTP_OR_EMPTY:500:2114
IBOS,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,2114|2114|24553,RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:24553
ICBP,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,2114|23049|0,RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:23049 || RuntimeError:HTTP_OR_EMPTY:500:0
ISAP,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,10101|2114|0,RuntimeError:HTTP_OR_EMPTY:500:10101 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:0
ISAT,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,0|2114|2114,RuntimeError:HTTP_OR_EMPTY:500:0 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114
JPFA,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24704|2114|2114,RuntimeError:HTTP_OR_EMPTY:500:24704 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114
KEJU,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24760|2114|2321,RuntimeError:HTTP_OR_EMPTY:500:24760 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2321
KRAS,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24760|10101|2114,RuntimeError:HTTP_OR_EMPTY:500:24760 || RuntimeError:HTTP_OR_EMPTY:500:10101 || RuntimeError:HTTP_OR_EMPTY:500:2114
MAPA,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24760|2114|2114,RuntimeError:HTTP_OR_EMPTY:500:24760 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114
MAPI,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,2114|2321|10101,RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2321 || RuntimeError:HTTP_OR_EMPTY:500:10101
MIDI,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,0|2114|2114,RuntimeError:HTTP_OR_EMPTY:500:0 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114
MIKA,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,0|2114|2114,RuntimeError:HTTP_OR_EMPTY:500:0 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114
MINA,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,2114|2114|23203,RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:23203
MSJA,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24760|2114|2114,RuntimeError:HTTP_OR_EMPTY:500:24760 || RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:2114
NASI,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24760|23256|2114,RuntimeError:HTTP_OR_EMPTY:500:24760 || RuntimeError:HTTP_OR_EMPTY:500:23256 || RuntimeError:HTTP_OR_EMPTY:500:2114
OLIV,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24760|0|2114,RuntimeError:HTTP_OR_EMPTY:500:24760 || RuntimeError:HTTP_OR_EMPTY:500:0 || RuntimeError:HTTP_OR_EMPTY:500:2114
PMMP,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,24704|0|2114,RuntimeError:HTTP_OR_EMPTY:500:24704 || RuntimeError:HTTP_OR_EMPTY:500:0 || RuntimeError:HTTP_OR_EMPTY:500:2114
PMUI,3,HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY|HTTP_NON_200_OR_EMPTY,HTTP_NON_200_OR_EMPTY,500|500|500,2114|0|10101,RuntimeError:HTTP_OR_EMPTY:500:2114 || RuntimeError:HTTP_OR_EMPTY:500:0 || RuntimeError:HTTP_OR_EMPTY:500:10101
