event_id,ticker,event_source_type,reference,source_url,source_sha256,stage2_parse_status,document_class,event_family,payment_dates,settlement_dates,cash_purchase_dates,record_date,distribution_date,transition_date,transition_semantic,diagnostics
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,Voluntary Conversion,KSEI-16892/JKU/0725,https://web.ksei.co.id/Announcement/Files/182650_ksei_16892_jku_0725_202507031822.pdf,78cc09b19f75bc6d4b6b21caeb529be390484236c614196233d942c42f8db54b,UNRESOLVED,SHARE_BUYBACK_CASH,MERGER_OR_RESTRUCTURING,2025-09-26,,,,,,,NO_EXPLICIT_REGULAR_MARKET_TRANSITION|UNKNOWN_SCHEDULE_FAMILY|NO_LAYOUT_EXPLICIT_TRANSITION
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,Voluntary Conversion,KSEI-16896/JKU/0725,https://web.ksei.co.id/Announcement/Files/182651_ksei_16896_jku_0725_202507031823.pdf,0bc815b45880e1660b0d5ff812fa2ca92d72ae7da22755e429583998d0890a9c,UNRESOLVED,SHARE_BUYBACK_CASH,MERGER_OR_RESTRUCTURING,2025-09-26,,,,,,,NO_EXPLICIT_REGULAR_MARKET_TRANSITION|UNKNOWN_SCHEDULE_FAMILY|NO_LAYOUT_EXPLICIT_TRANSITION
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,Voluntary Conversion,KSEI-16924/JKU/0725,https://web.ksei.co.id/Announcement/Files/182649_ksei_16924_jku_0725_202507031821.pdf,c8c6ae32b100146e0b5766e74288c3aaf7c7aa2594b0da2355ed1e96aa84a350,UNRESOLVED,NONE,MERGER_OR_RESTRUCTURING,,,,,,,,MISSING_TICKER|NO_EXPLICIT_REGULAR_MARKET_TRANSITION|NO_LAYOUT_EXPLICIT_TRANSITION
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,Voluntary Conversion,KSEI-17201/JKU/0725,https://web.ksei.co.id/Announcement/Files/182723_ksei_17201_jku_0725_202507071820.pdf,79e9cdf81b47ba2701bc5c32784810cdcf8fb86a8aca3f0c4d78e75ebe700038,UNRESOLVED,SHARE_BUYBACK_CASH,UNKNOWN,,,,,,,,NO_EXPLICIT_REGULAR_MARKET_TRANSITION|UNKNOWN_SCHEDULE_FAMILY|NO_LAYOUT_EXPLICIT_TRANSITION
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,Voluntary Conversion,KSEI-22159/JKU/0925,https://web.ksei.co.id/Announcement/Files/184857_ksei_22159_jku_0925_202509081730.pdf,63b91b29d2cc8360b1de9c6d78bc44def124f23697b41406add0182032778ca1,UNRESOLVED,SHARE_BUYBACK_CASH,MERGER_OR_RESTRUCTURING,,,,,,,,NO_EXPLICIT_REGULAR_MARKET_TRANSITION|UNKNOWN_SCHEDULE_FAMILY|NO_LAYOUT_EXPLICIT_TRANSITION
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,Voluntary Conversion,KSEI-23593/JKU/0925,https://web.ksei.co.id/Announcement/Files/185416_ksei_23593_jku_0925_202509262039.pdf,7df4549ca449ac2dcfa109c266ea8fbe059ba8e5eb92580bcebf993da4485838,UNRESOLVED,NONE,MERGER_OR_RESTRUCTURING,,,,2025-09-30,,,,MISSING_TICKER|NO_EXPLICIT_REGULAR_MARKET_TRANSITION|NO_LAYOUT_EXPLICIT_TRANSITION
41c1e8493213d0151799837330c0dc7d8fea633d458c03e40b61ea0247bb9e58,ADRO,Right Distribution,KSEI-27597/JKU/1124,https://web.ksei.co.id/Announcement/Files/174075_ksei_27597_jku_1124_202411291609.pdf,4c51477093cdb6b93f568781ac3d21f834a26154e18f2ac09576f1eed3867aca,UNRESOLVED,NONE,UNKNOWN,,,,,,,,NO_EXPLICIT_REGULAR_MARKET_TRANSITION|UNKNOWN_SCHEDULE_FAMILY|NO_LAYOUT_EXPLICIT_TRANSITION|CONFLICTING_LAYOUT_DATES:RECORD_DATE|CONFLICTING_LAYOUT_DATES:DISTRIBUTION_DATE
41c1e8493213d0151799837330c0dc7d8fea633d458c03e40b61ea0247bb9e58,ADRO,Right Distribution,KSEI-28171/JKU/1224,https://web.ksei.co.id/Announcement/Files/174447_ksei_28171_jku_1224_202412051900.pdf,177618678e05cb18f68022a2e89f33c76e05e5ad0a501ace2c4cff2fb8527b8e,UNRESOLVED,NONE,UNKNOWN,,,,2024-11-29,,,,MISSING_TICKER|NO_EXPLICIT_REGULAR_MARKET_TRANSITION|UNKNOWN_SCHEDULE_FAMILY|NO_LAYOUT_EXPLICIT_TRANSITION|CONFLICTING_LAYOUT_DATES:DISTRIBUTION_DATE
17fe9fc553a0ce287943538df0d6420b1e12282cf578773999f0bd31f0e11eaa,AMMS,Voluntary Conversion,KSEI-2311/JKU/0226,https://web.ksei.co.id/Announcement/Files/190297_ksei_2311_jku_0226_202602031308.pdf,03fe4331bb8318d413237174ab3d687d26b78283f954fc54cb3cfdaef50b15d7,UNRESOLVED,MANDATORY_TENDER_OFFER,UNKNOWN,2026-03-09,,,,,,,NO_EXPLICIT_REGULAR_MARKET_TRANSITION|UNKNOWN_SCHEDULE_FAMILY|NO_LAYOUT_EXPLICIT_TRANSITION
b98002764eb665a3383b008eda9e2716ad89e533fae16d36c72f55bb6572ede1,ASLI,Voluntary Conversion,KSEI-1152/JKU/0126,https://web.ksei.co.id/Announcement/Files/189765_ksei_1152_jku_0126_202601151754.pdf,4c9c0c3c29cff10a9688ed51aa47f3597815e1133656cc949bb15306cb4ce5f8,UNRESOLVED,MANDATORY_TENDER_OFFER,UNKNOWN,,2026-02-25,,,,,,NO_EXPLICIT_REGULAR_MARKET_TRANSITION|UNKNOWN_SCHEDULE_FAMILY|NO_LAYOUT_EXPLICIT_TRANSITION
