event_id,ticker,event_source_type,linkage_status,evidence_kind,document_semantic,transition_date,transition_semantic,linkage_basis,ksei_reference,source_url,source_sha256,diagnostics
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,Voluntary Conversion,EXACT_NON_BLOCKING,VOLUNTARY_CASH_NON_BLOCKING,SHARE_BUYBACK_CASH,,,EXACT_TICKER_CASH_DOCUMENT_AND_SOURCE_DATE_TO_PAYMENT_SETTLEMENT_PURCHASE_DATE,KSEI-16892/JKU/0725|KSEI-16896/JKU/0725,https://web.ksei.co.id/Announcement/Files/182650_ksei_16892_jku_0725_202507031822.pdf|https://web.ksei.co.id/Announcement/Files/182651_ksei_16896_jku_0725_202507031823.pdf,0bc815b45880e1660b0d5ff812fa2ca92d72ae7da22755e429583998d0890a9c|78cc09b19f75bc6d4b6b21caeb529be390484236c614196233d942c42f8db54b,
41c1e8493213d0151799837330c0dc7d8fea633d458c03e40b61ea0247bb9e58,ADRO,Right Distribution,UNRESOLVED,UNRESOLVED,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK
17fe9fc553a0ce287943538df0d6420b1e12282cf578773999f0bd31f0e11eaa,AMMS,Voluntary Conversion,EXACT_NON_BLOCKING,VOLUNTARY_CASH_NON_BLOCKING,MANDATORY_TENDER_OFFER,,,EXACT_TICKER_CASH_DOCUMENT_AND_SOURCE_DATE_TO_PAYMENT_SETTLEMENT_PURCHASE_DATE,KSEI-2311/JKU/0226,https://web.ksei.co.id/Announcement/Files/190297_ksei_2311_jku_0226_202602031308.pdf,03fe4331bb8318d413237174ab3d687d26b78283f954fc54cb3cfdaef50b15d7,
b98002764eb665a3383b008eda9e2716ad89e533fae16d36c72f55bb6572ede1,ASLI,Voluntary Conversion,EXACT_NON_BLOCKING,VOLUNTARY_CASH_NON_BLOCKING,VOLUNTARY_TENDER_OFFER,,,EXACT_TICKER_CASH_DOCUMENT_AND_SOURCE_DATE_TO_PAYMENT_SETTLEMENT_PURCHASE_DATE,KSEI-4407/JKU/0326,https://web.ksei.co.id/Announcement/Files/191295_ksei_4407_jku_0326_202603041812.pdf,d817439f116b75e6169643278e891a4a69b29addff9cb10dfca27c68a1236e6e,
da7907c518d9c345e9fd39ff1040594141f3585d868e75e34610b2546ee98359,BABY,Right Distribution,UNRESOLVED,UNRESOLVED,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK
cc6808069b53474d4a1eddff5fd29f8e8c9f6bac54177cbd4dd24d7af574f4f2,BOGA,Voluntary Conversion,EXACT_NON_BLOCKING,VOLUNTARY_CASH_NON_BLOCKING,MANDATORY_TENDER_OFFER,,,EXACT_TICKER_CASH_DOCUMENT_AND_SOURCE_DATE_TO_PAYMENT_SETTLEMENT_PURCHASE_DATE,KSEI-1844/JKU/0126,https://web.ksei.co.id/Announcement/Files/190058_ksei_1844_jku_0126_202601271422.pdf,3553d2833c94d119e896008d58fc24d000b351e44fc4d7f0dbeb4cbf962e6ac0,
abbfde50f3d9a4dfa848a9af445ccfb679b265e3fbe3013253fef8ff71def3ae,BUVA,Right Distribution,UNRESOLVED,UNRESOLVED,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK
3ac75071cfbca806f0e133579111cfefcfe30c4d76a86fb8c334d74a550ec196,CNMA,Mixed Dividend,UNRESOLVED,UNRESOLVED,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK
ea6342da3645aea159162c92bd128bb6d0f1b056187de70b523d9fd806ce67cd,COCO,Right Distribution,UNRESOLVED,UNRESOLVED,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK
e0f232c4b41c5b9b17c2071b9d63dc25bb9eec9b3233272c574c1f7fbf4aacca,CSIS,Right Distribution,UNRESOLVED,UNRESOLVED,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK
6df97832e47c00fc5653e90659f525a5c8258752f9fc2245803498bdeb30b45e,CUAN,Mandatory Conversion,UNRESOLVED,UNRESOLVED,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK
52bbd37b7c2b69085d0046175bb3da57ca7d4689e1299cd34c64a779aedcd9a6,CYBR,Mandatory Conversion,UNRESOLVED,UNRESOLVED,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK,,,,NO_EXACT_ADMISSIBLE_DOCUMENT_LINK
