event_id,ticker,row_index,source_type,status,ratio_raw,ratio_parse_status,ratio_left_security,ratio_right_security,strict_security_to_currency_predicate,present_in_parent_audit,present_in_remediation_audit,removed_from_relevant_audit,parent_family,parent_semantic_class,parent_transition_date,remediation_family,remediation_semantic_class,remediation_transition_date,remediation_reason
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,4,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
ec0de757dc8a66351411bc13293c3042ce80ae9b8d2a3ad50301e4c5a9827b3f,ADMF,5,Voluntary Conversion,Active,(1 ADMF : 9082 IDR),PARSED_SOURCE_TEXT_ONLY,ADMF,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
41c1e8493213d0151799837330c0dc7d8fea633d458c03e40b61ea0247bb9e58,ADRO,9,Right Distribution,Active,(4389 ADRO : 1000 ADRO-H ),PARSED_SOURCE_TEXT_ONLY,ADRO,ADRO-H,False,True,True,False,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION
b1fd0a21ffefab80076ea7985f9e43fda3da35c6c5453dc7a62bc97703cb413b,AGRS,4,Right Distribution,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-07-09,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-07-09,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
17fe9fc553a0ce287943538df0d6420b1e12282cf578773999f0bd31f0e11eaa,AMMS,2,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
3d298afc65419bb6e0949bba6ac5712968e0b9ba52d9d3f73a850eeb80e4bde5,ANJT,4,Voluntary Conversion,Active,(1 ANJT : 1813 IDR),PARSED_SOURCE_TEXT_ONLY,ANJT,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
b98002764eb665a3383b008eda9e2716ad89e533fae16d36c72f55bb6572ede1,ASLI,2,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
763b59678cdf164d238067675d92985175def733f171facf00af553525368cf7,AYLS,3,Voluntary Conversion,Active,(1 AYLS : 134 IDR),PARSED_SOURCE_TEXT_ONLY,AYLS,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
8276f5f06ce646ae1b774610fd55209f5182950ec604513093fd5452ddd870c5,BABP,5,Right Distribution,Active,(5 BABP : 2 BABP-R ),PARSED_SOURCE_TEXT_ONLY,BABP,BABP-R,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2023-12-14,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2023-12-14,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
da7907c518d9c345e9fd39ff1040594141f3585d868e75e34610b2546ee98359,BABY,2,Right Distribution,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION
5c37390a79d79cc3e022e9e604d69934d152e3ea6fadfa57e76d0207a6b004c6,BBYB,8,Right Distribution,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-07-09,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-07-09,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
14c6e6f42d5bf33bf71d24ed97ab85b10cb380266cdbddaf131548a640dcaf7a,BEEF,4,Right Distribution,Active,(100 BEEF : 13 BEEF ),PARSED_SOURCE_TEXT_ONLY,BEEF,BEEF,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-05-27,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-05-27,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
