event_id,ticker,row_index,source_type,status,ratio_raw,ratio_parse_status,ratio_left_security,ratio_right_security,strict_security_to_currency_predicate,present_in_parent_audit,present_in_remediation_audit,removed_from_relevant_audit,parent_family,parent_semantic_class,parent_transition_date,remediation_family,remediation_semantic_class,remediation_transition_date,remediation_reason
412258fd630fab268b822eb1875a1b448aaa085a009c58ac0f76e78ad21bdce1,ADMF,4,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
ec0de757dc8a66351411bc13293c3042ce80ae9b8d2a3ad50301e4c5a9827b3f,ADMF,5,Voluntary Conversion,Active,(1 ADMF : 9082 IDR),PARSED_SOURCE_TEXT_ONLY,ADMF,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
17fe9fc553a0ce287943538df0d6420b1e12282cf578773999f0bd31f0e11eaa,AMMS,2,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
3d298afc65419bb6e0949bba6ac5712968e0b9ba52d9d3f73a850eeb80e4bde5,ANJT,4,Voluntary Conversion,Active,(1 ANJT : 1813 IDR),PARSED_SOURCE_TEXT_ONLY,ANJT,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
b98002764eb665a3383b008eda9e2716ad89e533fae16d36c72f55bb6572ede1,ASLI,2,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
763b59678cdf164d238067675d92985175def733f171facf00af553525368cf7,AYLS,3,Voluntary Conversion,Active,(1 AYLS : 134 IDR),PARSED_SOURCE_TEXT_ONLY,AYLS,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
7af147584dbb35963198a35ca2d0904a7c3aac8da6c574161a5b133f214e407e,BEEF,12,Voluntary Conversion,Active,(1 BEEF : 123 IDR),PARSED_SOURCE_TEXT_ONLY,BEEF,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
cc6808069b53474d4a1eddff5fd29f8e8c9f6bac54177cbd4dd24d7af574f4f2,BOGA,2,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
1abcbf7d5754858a194bf1fad31bc27e933d52c5ed555a3fb91c1501cdfbbc60,CNKO,4,Voluntary Conversion,Active,(1 CNKO : 8 IDR),PARSED_SOURCE_TEXT_ONLY,CNKO,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
045a4591454c9f423a57f5a824966d849d8bc472d26450675deebcaa542e9f06,DATA,2,Voluntary Conversion,Active,(1 DATA : 974 IDR),PARSED_SOURCE_TEXT_ONLY,DATA,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
8abd467f868678e08a314267bd8f5856b899d5ba53fca7796911123ea611951c,EDGE,1,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
f91190c37ee43bbdfee7ee4a7588a91d87c815ba6a92002d54c4698992ef4a8b,EDGE,2,Voluntary Conversion,Active,(1 EDGE : 11500 IDR),PARSED_SOURCE_TEXT_ONLY,EDGE,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
