action,target,archive_tag,expected_branch_head,observed_peeled_sha,annotated_tag_type,branch_after,tag_status
DELETE_BRANCH,codex/idx-eod-adversarial-tests-v1,archive/codex-idx-eod-adversarial-tests-v1-f6a50cfcba36,f6a50cfcba3611c89bd71ee1b6b12d9da3dee51a,f6a50cfcba3611c89bd71ee1b6b12d9da3dee51a,tag,ABSENT,VERIFIED
DELETE_BRANCH,codex/scientific-integrity-audit-v1,archive/codex-scientific-integrity-audit-v1-1a3d785b10e3,1a3d785b10e33af1f6f723fb4a23cf8a61980b0a,1a3d785b10e33af1f6f723fb4a23cf8a61980b0a,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/broker-margin-source-audit-v0,archive/data-broker-margin-source-audit-v0-c7fcec2a5fc5,c7fcec2a5fc58e503cf1ea5fbff9e890dcf827ae,c7fcec2a5fc58e503cf1ea5fbff9e890dcf827ae,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-adapter-census-v1,archive/data-financial-pit-adapter-census-v1-d1cb537e844f,d1cb537e844fb8da83551ba462c80c8debb623d4,d1cb537e844fb8da83551ba462c80c8debb623d4,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-fact-extraction-hardening-v1,archive/data-financial-pit-fact-extraction-hardening-v1-baf0334a1dd6,baf0334a1dd6a31e9d88ae978630ec864bfb3410,baf0334a1dd6a31e9d88ae978630ec864bfb3410,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-fact-schema-v1,archive/data-financial-pit-fact-schema-v1-4013f90a56ed,4013f90a56edc6d8409e6a7514a9170d5f301aff,4013f90a56edc6d8409e6a7514a9170d5f301aff,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-feature-contract-v1,archive/data-financial-pit-feature-contract-v1-6b510d8d254d,6b510d8d254dd47973e749ffeae7cf1569069395,6b510d8d254dd47973e749ffeae7cf1569069395,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-feature-materialization-v1,archive/data-financial-pit-feature-materialization-v1-7b5ed76c934b,7b5ed76c934b32cc7d995cc93870ac16d797e9e4,7b5ed76c934b32cc7d995cc93870ac16d797e9e4,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-marketwide-fact-extraction-census-v1,archive/data-financial-pit-marketwide-fact-extraction-census-v1-419f0be54a7b,419f0be54a7b08ee958c52b8a727be9423286d96,419f0be54a7b08ee958c52b8a727be9423286d96,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-offline-scope-reclassification-v1,archive/data-financial-pit-offline-scope-reclassification-v1-45d36eda095e,45d36eda095ea975182565804baaf899a9706c58,45d36eda095ea975182565804baaf899a9706c58,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-period-boundary-remediation-v1,archive/data-financial-pit-period-boundary-remediation-v1-09e8e8eba738,09e8e8eba738e4dcea3c871f0eda83b53cc07c42,09e8e8eba738e4dcea3c871f0eda83b53cc07c42,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-revision-lineage-v1,archive/data-financial-pit-revision-lineage-v1-58e5e26de464,58e5e26de4646794a38e844decf54890696375c5,58e5e26de4646794a38e844decf54890696375c5,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-scientific-notation-remediation-v1,archive/data-financial-pit-scientific-notation-remediation-v1-98f409cda994,98f409cda9943cc06747e875153c231d950a3221,98f409cda9943cc06747e875153c231d950a3221,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-statement-scope-v1,archive/data-financial-pit-statement-scope-v1-e4537c16c501,e4537c16c5011d8cafc55bc72e8f04017b874baf,e4537c16c5011d8cafc55bc72e8f04017b874baf,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-template-drift-audit-v1,archive/data-financial-pit-template-drift-audit-v1-f2238f35546d,f2238f35546db0934e7ce1203cefc57fa05eec86,f2238f35546db0934e7ce1203cefc57fa05eec86,tag,ABSENT,VERIFIED
DELETE_BRANCH,data/financial-pit-v1,archive/data-financial-pit-v1-25eaa67a7f54,25eaa67a7f5446234db470756fe8b5c12cbb7696,25eaa67a7f5446234db470756fe8b5c12cbb7696,tag,ABSENT,VERIFIED
